bairro_group,room_type,latitude,longitude,minimo_noites,numero_de_reviews,reviews_por_mes,calculado_host_listings_count,disponibilidade_365,price
Manhattan,Entire home/apt,40.7789,-73.95554,4,1,1.0,1,314,199
Queens,Private room,40.74493,-73.94679,1,86,2.63,2,337,75
Brooklyn,Private room,40.69134,-73.94468,1,2,0.04,1,365,100
Brooklyn,Entire home/apt,40.67398,-73.92787,2,65,2.67,1,308,124
Manhattan,Entire home/apt,40.7822,-73.98207,2,12,0.44,1,0,90
Manhattan,Entire home/apt,40.77907,-73.95211,2,135,2.68,1,228,140
Brooklyn,Entire home/apt,40.68446,-73.95182,3,14,1.88,2,0,149
Brooklyn,Private room,40.69061,-73.91348,30,0,0.0,1,5,40
Brooklyn,Entire home/apt,40.71638,-73.93988,30,0,0.0,1,179,325
Brooklyn,Private room,40.71228,-73.95323,2,181,5.42,1,52,80
Manhattan,Entire home/apt,40.77447,-73.98853,2,5,5.0,1,0,300
Manhattan,Entire home/apt,40.81095,-73.95296,3,90,1.96,2,304,299
Manhattan,Private room,40.76215,-73.95056,5,1,1.0,2,61,94
Brooklyn,Private room,40.69307,-73.95254,3,1,0.04,1,0,40
Brooklyn,Private room,40.69113,-73.91501,4,6,0.13,1,2,60
Queens,Private room,40.76313,-73.8234,1,4,4.0,6,365,99
Manhattan,Entire home/apt,40.71634,-73.99031,2,2,0.05,1,0,399
Brooklyn,Entire home/apt,40.63887,-73.96667,3,32,0.85,1,0,80
Manhattan,Private room,40.777,-73.97708,1,8,0.17,1,0,180
Manhattan,Entire home/apt,40.80926,-73.95455,3,25,1.2,1,22,150
Brooklyn,Entire home/apt,40.68033,-73.96528,5,5,0.08,1,0,125
Manhattan,Entire home/apt,40.75672,-73.98653,2,1,1.0,1,28,385
Brooklyn,Private room,40.68704,-73.95565,2,0,0.0,2,189,65
Queens,Entire home/apt,40.77536,-73.90781,1,268,6.78,1,139,120
Brooklyn,Entire home/apt,40.67797,-73.93967,5,147,3.19,1,142,239
Queens,Entire home/apt,40.65443,-73.84605,30,2,0.03,1,362,63
Manhattan,Entire home/apt,40.80875,-73.94238,31,48,3.44,4,117,160
Brooklyn,Entire home/apt,40.69692,-73.97352,1,6,0.26,1,0,108
Manhattan,Entire home/apt,40.78918,-73.94995,3,18,0.49,2,0,150
Manhattan,Entire home/apt,40.77712,-73.95176,31,0,0.0,33,345,250
Manhattan,Entire home/apt,40.73985,-74.00138,30,24,0.36,1,66,320
Bronx,Private room,40.81943,-73.90224,2,9,0.65,1,0,80
Brooklyn,Entire home/apt,40.71001,-73.96101,1,5,2.21,1,165,215
Queens,Private room,40.70585,-73.80867,1,13,4.53,9,358,50
Brooklyn,Entire home/apt,40.65787,-73.95929,8,4,0.18,1,0,130
Manhattan,Entire home/apt,40.80497,-73.95016,2,203,2.14,3,258,300
Manhattan,Private room,40.704,-74.00646,24,0,0.0,1,362,90
Manhattan,Private room,40.73222,-73.9969,4,19,0.35,1,339,120
Brooklyn,Private room,40.69143,-73.93444,1,0,0.0,1,0,55
Brooklyn,Private room,40.70998,-73.95956,1,0,0.0,1,0,60
Brooklyn,Entire home/apt,40.6789,-73.94001,1,223,3.91,1,230,129
Brooklyn,Entire home/apt,40.67655,-73.97697,3,17,3.98,1,142,200
Brooklyn,Private room,40.70994,-73.95243,4,3,0.12,1,0,50
Manhattan,Entire home/apt,40.79218,-73.97926,2,165,1.92,1,259,185
Brooklyn,Private room,40.71458,-73.96169,5,67,5.01,2,124,65
Brooklyn,Entire home/apt,40.68864,-73.99896,30,5,0.33,1,117,100
Queens,Private room,40.77359,-73.9251,1,2,0.32,1,249,60
Manhattan,Entire home/apt,40.74886,-73.98184,30,0,0.0,8,281,150
Bronx,Private room,40.86255,-73.90059,1,2,1.82,1,332,42
Manhattan,Private room,40.77669,-73.94822,3,5,0.24,1,0,100
Brooklyn,Private room,40.71447,-73.95195,14,2,0.2,1,18,70
Manhattan,Entire home/apt,40.72912,-73.97624,4,0,0.0,1,0,175
Manhattan,Entire home/apt,40.72657,-73.98796,7,1,0.64,1,1,131
Brooklyn,Entire home/apt,40.67411,-73.93023,3,26,2.07,1,251,190
Manhattan,Entire home/apt,40.7997,-73.9534,3,0,0.0,1,83,600
Manhattan,Entire home/apt,40.76428,-73.99381,2,77,3.63,1,9,130
Queens,Private room,40.66932,-73.7514,5,1,0.11,2,90,95
Brooklyn,Private room,40.64943,-73.96245,3,121,2.63,1,341,70
Manhattan,Entire home/apt,40.73768,-73.98727,3,0,0.0,1,0,225
Manhattan,Entire home/apt,40.73878,-73.99604,30,0,0.0,232,185,303
Manhattan,Private room,40.82399,-73.94382,1,0,0.0,1,0,46
Brooklyn,Private room,40.66984,-73.95141,1,1,0.04,1,0,64
Queens,Private room,40.76976,-73.90314,1,0,0.0,1,89,500
Manhattan,Entire home/apt,40.73075,-74.00238,45,21,0.31,1,0,110
Manhattan,Private room,40.80237,-73.96601,7,1,0.03,1,87,110
Bronx,Private room,40.86789,-73.85999,4,40,0.87,5,0,63
Manhattan,Entire home/apt,40.76483,-73.99248,2,0,0.0,1,0,280
Manhattan,Entire home/apt,40.76142,-73.99865,28,0,0.0,1,167,220
Brooklyn,Entire home/apt,40.7167,-73.95272,2,2,0.04,1,0,210
Brooklyn,Entire home/apt,40.68469,-73.90761,3,64,4.06,2,219,69
Bronx,Private room,40.87997,-73.90035,3,54,3.69,4,64,65
Brooklyn,Entire home/apt,40.61673,-73.96491,2,23,1.55,2,49,75
Manhattan,Entire home/apt,40.71412,-73.98984,6,5,0.13,1,12,110
Manhattan,Private room,40.7709,-73.95561,5,1,0.03,3,0,95
Manhattan,Private room,40.7613,-73.99155,1,58,2.72,4,304,155
Brooklyn,Private room,40.6771,-73.98414,1,1,0.37,1,82,75
Brooklyn,Private room,40.704,-73.91492,2,19,1.47,1,198,75
Brooklyn,Entire home/apt,40.7255,-73.9409,30,1,0.02,52,300,129
Brooklyn,Entire home/apt,40.70206,-73.98804,1,0,0.0,1,0,250
Brooklyn,Private room,40.69058,-73.93236,1,13,2.22,3,16,57
Queens,Private room,40.7003,-73.89983,2,0,0.0,1,0,70
Brooklyn,Private room,40.66516,-73.94097,1,13,1.13,1,301,46
Manhattan,Private room,40.80339,-73.95034,3,9,0.42,1,0,99
Manhattan,Entire home/apt,40.7623,-73.99096,4,27,1.75,1,42,172
Queens,Entire home/apt,40.76419,-73.87498,1,118,6.05,2,79,120
Manhattan,Private room,40.77941,-73.94862,1,0,0.0,3,0,250
Manhattan,Entire home/apt,40.78074,-73.98393,5,0,0.0,1,0,250
Brooklyn,Private room,40.66788,-73.95111,1,55,2.7,1,35,75
Manhattan,Private room,40.8224,-73.94358,3,9,0.11,1,329,79
Manhattan,Entire home/apt,40.8531,-73.94091,7,6,0.13,1,0,125
Manhattan,Entire home/apt,40.70751,-74.01184,2,13,3.42,327,331,231
Manhattan,Entire home/apt,40.74461,-74.00172,5,50,0.91,1,328,140
Brooklyn,Private room,40.7258,-73.9515,7,2,0.05,1,0,45
Bronx,Private room,40.84615,-73.91546,1,25,7.08,1,241,35
Staten Island,Private room,40.6339,-74.08513,3,6,0.22,3,88,55
Brooklyn,Private room,40.68731,-73.9478,1,0,0.0,1,0,60
Brooklyn,Entire home/apt,40.67193,-73.97334,3,26,3.79,1,219,100
Manhattan,Entire home/apt,40.81872,-73.94363,7,1,0.65,2,150,300
Manhattan,Private room,40.71451,-73.98789,1,22,2.53,3,91,78
Brooklyn,Entire home/apt,40.69075,-73.97192,5,154,1.93,1,301,128
Brooklyn,Private room,40.69271,-73.93943,2,32,2.72,6,251,123
Manhattan,Private room,40.76457,-73.99082,1,52,2.5,3,159,119
Brooklyn,Private room,40.70118,-73.92826,3,10,0.15,1,0,55
Manhattan,Entire home/apt,40.73507,-74.00826,2,6,0.18,1,0,239
Queens,Private room,40.736,-73.92425,5,59,1.76,4,250,35
Brooklyn,Private room,40.68898,-73.94756,1,59,1.9,1,188,53
Manhattan,Private room,40.71912,-73.99776,2,6,0.13,1,213,61
Manhattan,Private room,40.80212,-73.95732,2,5,1.9,2,90,95
Brooklyn,Entire home/apt,40.59846,-73.99175,60,0,0.0,2,87,85
Brooklyn,Entire home/apt,40.68459,-73.93985,2,127,3.88,3,113,105
Brooklyn,Private room,40.71207,-73.95077,2,152,2.5,2,80,65
Manhattan,Entire home/apt,40.70574,-74.01023,2,20,4.11,327,333,201
Queens,Private room,40.70946,-73.74837,1,47,3.96,1,348,50
Manhattan,Entire home/apt,40.77421,-73.95544,1,1,0.05,1,0,150
Manhattan,Entire home/apt,40.75023,-73.98293,10,19,0.27,1,101,299
Brooklyn,Private room,40.73261,-73.95157,1,0,0.0,1,160,195
Brooklyn,Entire home/apt,40.67844,-74.01058,2,98,4.64,1,193,120
Brooklyn,Private room,40.70833,-73.95395,1,214,3.07,2,354,89
Brooklyn,Entire home/apt,40.68286,-73.93379,3,75,3.24,1,323,170
Bronx,Entire home/apt,40.8883,-73.91665,2,79,1.99,1,267,150
Queens,Entire home/apt,40.58822,-73.81299,1,186,3.35,1,292,130
Brooklyn,Entire home/apt,40.68279,-73.92135,2,11,0.93,1,6,120
Queens,Private room,40.70793,-73.89528,4,8,0.64,1,157,37
Brooklyn,Entire home/apt,40.7112,-73.96566,7,3,0.56,1,16,105
Manhattan,Entire home/apt,40.72068,-73.99019,2,1,0.16,3,0,195
Manhattan,Entire home/apt,40.74466,-73.9737,1,0,0.0,1,0,140
Manhattan,Private room,40.81574,-73.94871,1,98,2.5,1,204,72
Brooklyn,Entire home/apt,40.67893,-73.95236,4,12,0.22,2,0,90
Queens,Private room,40.76354,-73.91789,2,1,0.07,1,364,77
Brooklyn,Entire home/apt,40.67917,-73.97951,5,1,0.07,1,0,120
Manhattan,Private room,40.76468,-73.98785,1,22,6.8,1,77,160
Bronx,Entire home/apt,40.89502,-73.85071,7,3,0.63,4,242,75
Manhattan,Private room,40.8087,-73.94335,30,3,0.33,1,90,110
Manhattan,Entire home/apt,40.72833,-73.99331,6,1,0.33,4,52,495
Queens,Private room,40.65101,-73.73721,1,0,0.0,1,180,60
Manhattan,Entire home/apt,40.82621,-73.94125,30,1,0.67,1,209,90
Manhattan,Entire home/apt,40.76735,-73.95433,5,0,0.0,1,188,130
Manhattan,Entire home/apt,40.71829,-73.989,2,4,1.54,1,3,200
Brooklyn,Private room,40.71707,-73.95982,3,46,2.88,3,0,60
Manhattan,Private room,40.75537,-73.995,30,2,0.23,1,352,54
Manhattan,Entire home/apt,40.77773,-73.94938,2,110,3.02,1,287,450
Brooklyn,Private room,40.65287,-73.96353,1,0,0.0,1,0,30
Manhattan,Entire home/apt,40.76751,-73.96309,4,57,1.08,1,0,300
Manhattan,Private room,40.80257,-73.93987,30,5,0.26,4,220,46
Manhattan,Private room,40.7868,-73.95228,2,29,5.0,1,0,50
Manhattan,Private room,40.86507,-73.92348,29,0,0.0,37,31,35
Bronx,Private room,40.88068,-73.90012,3,55,3.68,4,63,79
Manhattan,Private room,40.80549,-73.95924,4,122,1.18,2,233,99
Brooklyn,Shared room,40.69029,-73.90623,1,3,0.18,1,0,29
Brooklyn,Entire home/apt,40.67621,-73.97238,5,1,0.02,1,0,140
Manhattan,Entire home/apt,40.7385,-73.98782,1,23,0.71,1,0,236
Manhattan,Entire home/apt,40.7768,-73.95166,7,0,0.0,1,24,125
Queens,Entire home/apt,40.7645,-73.93181,5,6,0.13,1,0,115
Manhattan,Entire home/apt,40.81756,-73.94099,4,3,0.28,1,0,86
Manhattan,Entire home/apt,40.74133,-73.97706,30,1,1.0,1,54,130
Manhattan,Entire home/apt,40.75223,-74.00816,2,0,0.0,1,168,300
Manhattan,Private room,40.74604,-73.97495,7,0,0.0,1,0,80
Brooklyn,Private room,40.68105,-73.91256,2,7,2.69,10,353,40
Manhattan,Entire home/apt,40.7353,-74.00525,90,27,0.22,1,0,120
Staten Island,Private room,40.6427,-74.08001,2,234,3.74,1,264,95
Manhattan,Entire home/apt,40.74327,-73.99807,2,1,0.02,1,0,230
Brooklyn,Entire home/apt,40.66155,-73.94579,13,109,1.66,1,15,80
Manhattan,Entire home/apt,40.72835,-74.00259,1,0,0.0,1,0,150
Manhattan,Entire home/apt,40.76241,-73.99606,29,0,0.0,327,319,182
Brooklyn,Private room,40.66303,-73.99431,10,13,0.4,2,302,75
Queens,Private room,40.754,-73.80701,2,40,0.81,3,311,47
Bronx,Private room,40.83067,-73.88024,1,14,0.7,2,1,35
Brooklyn,Entire home/apt,40.68967,-73.98664,3,0,0.0,2,0,150
Queens,Entire home/apt,40.74623,-73.94051,2,7,2.23,1,122,140
Brooklyn,Entire home/apt,40.67921,-73.99226,3,93,2.58,1,77,185
Brooklyn,Entire home/apt,40.68496,-73.94758,1,0,0.0,1,0,160
Manhattan,Private room,40.72513,-74.00329,1,42,3.32,10,120,119
Brooklyn,Private room,40.68569,-73.90857,3,2,2.0,1,97,50
Brooklyn,Private room,40.70667,-73.94921,3,22,0.36,2,11,99
Brooklyn,Entire home/apt,40.67385,-73.92071,3,3,3.0,1,356,295
Bronx,Private room,40.87786,-73.87641,1,108,1.84,1,261,50
Manhattan,Entire home/apt,40.7055,-74.00812,30,4,0.11,121,365,189
Brooklyn,Entire home/apt,40.664,-73.93328,1,54,9.36,1,20,75
Manhattan,Entire home/apt,40.7637,-73.99184,1,0,0.0,1,2,150
Queens,Entire home/apt,40.77036,-73.92191,3,2,0.27,1,0,165
Manhattan,Entire home/apt,40.75961,-73.98844,3,22,4.49,1,228,295
Manhattan,Private room,40.72827,-73.98041,2,2,0.73,1,15,83
Manhattan,Entire home/apt,40.7638,-73.99298,5,49,1.15,2,251,220
Brooklyn,Private room,40.68465,-73.91528,14,3,0.13,1,0,75
Brooklyn,Private room,40.70968,-73.94575,10,0,0.0,1,0,45
Brooklyn,Private room,40.68198,-73.95347,60,2,0.05,1,0,250
Manhattan,Private room,40.72347,-73.99302,2,2,0.11,1,0,70
Brooklyn,Private room,40.70882,-73.95445,2,4,0.15,1,0,90
Staten Island,Private room,40.63975,-74.07774,31,0,0.0,1,365,70
Brooklyn,Entire home/apt,40.68732,-73.99245,3,23,0.51,1,2,147
Brooklyn,Private room,40.71423,-73.95305,4,160,1.92,1,23,89
Brooklyn,Entire home/apt,40.6866,-73.94583,2,27,0.76,2,96,131
Brooklyn,Private room,40.70037,-73.91751,14,4,0.28,1,0,35
Manhattan,Entire home/apt,40.79998,-73.95633,3,18,0.97,1,20,250
Brooklyn,Private room,40.65351,-73.94999,30,0,0.0,1,300,40
Manhattan,Entire home/apt,40.75897,-73.98318,120,0,0.0,1,173,89
Brooklyn,Private room,40.67033,-73.96161,30,3,0.24,1,136,48
